Language,COUNT(*)
"Chaga and Pare",1
Gogo,1
Ha,1
Haya,1
Hehet,1
Luguru,1
Makonde,1
Nyakusa,1
Nyamwesi,1
Shambala,1
Acholi,1
Ganda,1
Gisu,1
Kiga,1
Lango,1
Lugbara,1
Nkole,1
Soga,1
Teso,1
Tagalog,1
Karakalpak,1
Goajiro,1
Warrau,1
Man,1
Muong,1
Nung,1
Tho,1
Bislama,1
Futuna,1
Wallis,1
Samoan-English,1
Soqutri,1
Northsotho,1
Southsotho,1
Venda,1
Xhosa,1
Bemba,1
Chewa,1
Lozi,1
Nsenga,1
Tonga,1
